Date, Total Transactions, Total Traded Shares, Total Traded Amount, Max. Price, Min. Price, Close Price,signal
2010-04-15,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,down
2010-04-16,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,down
2010-04-17,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,down
2010-04-18,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,down
2010-04-19,18.0,1774.0,3549542.0,2039.0,2000.0,2001.0,down
2010-04-20,18.0,1212.0,2369304.0,1975.0,1945.0,1945.0,down
2010-04-21,35.0,1916.0,3531917.0,1908.0,1800.0,1810.0,down
2010-04-22,17.0,1197.0,2156607.0,1831.0,1775.0,1831.0,down
2010-04-23,17.0,1197.0,2156607.0,1831.0,1775.0,1831.0,down
2010-04-24,17.0,1197.0,2156607.0,1831.0,1775.0,1831.0,down
2010-04-25,16.0,1365.0,2440702.0,1804.0,1770.0,1786.0,down
2010-04-26,14.0,920.0,1625754.0,1785.0,1750.0,1760.0,down
2010-04-27,17.0,1418.0,2413719.0,1730.0,1695.0,1696.0,down
2010-04-28,5.0,293.0,491761.0,1729.0,1665.0,1671.0,down
2010-04-29,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-04-30,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-01,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-02,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-03,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-04,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-05,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-06,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-07,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-08,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,down
2010-05-09,1.0,60.0,110400.0,1840.0,1840.0,1840.0,down
2010-05-10,7.0,208.0,395608.0,1930.0,1876.0,1927.0,up
2010-05-11,15.0,826.0,1617502.0,2005.0,1900.0,2005.0,up
2010-05-12,20.0,953.0,1987601.0,2150.0,2010.0,2100.0,up
2010-05-13,27.0,1750.0,3878050.0,2310.0,2142.0,2200.0,up
2010-05-14,27.0,1750.0,3878050.0,2310.0,2142.0,2200.0,up
2010-05-15,27.0,1750.0,3878050.0,2310.0,2142.0,2200.0,up
2010-05-16,24.0,1664.0,3492793.0,2194.0,2039.0,2075.0,up
2010-05-17,16.0,1032.0,2071515.0,2040.0,2000.0,2040.0,up
2010-05-18,14.0,840.0,1756506.0,2140.0,2000.0,2100.0,up
2010-05-19,19.0,1278.0,2708832.0,2172.0,2100.0,2172.0,up
2010-05-20,14.0,964.0,2091434.0,2200.0,2120.0,2150.0,up
2010-05-21,14.0,964.0,2091434.0,2200.0,2120.0,2150.0,up
2010-05-22,14.0,964.0,2091434.0,2200.0,2120.0,2150.0,up
2010-05-23,8.0,805.0,1736215.0,2180.0,2145.0,2180.0,up
2010-05-24,18.0,1274.0,2757712.0,2185.0,2150.0,2180.0,up
2010-05-25,31.0,2243.0,5133389.0,2315.0,2223.0,2300.0,up
2010-05-26,25.0,1420.0,3331650.0,2392.0,2299.0,2320.0,up
2010-05-27,25.0,1420.0,3331650.0,2392.0,2299.0,2320.0,up
2010-05-28,25.0,1420.0,3331650.0,2392.0,2299.0,2320.0,up
2010-05-29,25.0,1420.0,3331650.0,2392.0,2299.0,2320.0,up
2010-05-30,23.0,1443.0,3648600.0,2542.0,2366.0,2540.0,up
2010-05-31,42.0,2755.0,6729356.0,2600.0,2343.0,2356.0,up
2010-06-01,26.0,2319.0,5223035.0,2345.0,2200.0,2305.0,up
2010-06-02,10.0,625.0,1422585.0,2295.0,2252.0,2285.0,up
2010-06-03,14.0,928.0,2157740.0,2350.0,2250.0,2330.0,up
2010-06-04,14.0,928.0,2157740.0,2350.0,2250.0,2330.0,up
2010-06-05,14.0,928.0,2157740.0,2350.0,2250.0,2330.0,up
2010-06-06,13.0,653.0,1497765.0,2300.0,2290.0,2290.0,up
2010-06-07,19.0,1757.0,3928202.0,2296.0,2200.0,2270.0,up
2010-06-08,4.0,318.0,733440.0,2315.0,2300.0,2300.0,up
2010-06-09,9.0,782.0,1816841.0,2345.0,2300.0,2335.0,up
2010-06-10,9.0,683.0,1583860.0,2335.0,2300.0,2335.0,up
2010-06-11,9.0,683.0,1583860.0,2335.0,2300.0,2335.0,up
2010-06-12,9.0,683.0,1583860.0,2335.0,2300.0,2335.0,up
2010-06-13,19.0,1279.0,2940315.0,2315.0,2290.0,2300.0,down
2010-06-14,7.0,340.0,778130.0,2300.0,2265.0,2300.0,down
2010-06-15,7.0,759.0,1715940.0,2275.0,2251.0,2263.0,down
2010-06-16,5.0,415.0,950750.0,2300.0,2290.0,2292.0,down
2010-06-17,5.0,379.0,861177.0,2295.0,2261.0,2295.0,down
2010-06-18,5.0,379.0,861177.0,2295.0,2261.0,2295.0,down
2010-06-19,5.0,379.0,861177.0,2295.0,2261.0,2295.0,down
2010-06-20,5.0,386.0,875260.0,2290.0,2260.0,2280.0,down
2010-06-21,11.0,820.0,1844710.0,2260.0,2240.0,2240.0,down
2010-06-22,5.0,283.0,625470.0,2249.0,2200.0,2249.0,down
2010-06-23,10.0,357.0,798420.0,2260.0,2220.0,2230.0,down
2010-06-24,9.0,446.0,976278.0,2202.0,2170.0,2170.0,down
2010-06-25,9.0,446.0,976278.0,2202.0,2170.0,2170.0,down
2010-06-26,9.0,446.0,976278.0,2202.0,2170.0,2170.0,down
2010-06-27,9.0,446.0,976278.0,2202.0,2170.0,2170.0,down
2010-06-28,2.0,171.0,364017.0,2130.0,2127.0,2127.0,down
2010-06-29,12.0,631.0,1325087.0,2105.0,2098.0,2100.0,down
2010-06-30,2.0,140.0,292920.0,2100.0,2090.0,2090.0,down
2010-07-01,19.0,875.0,1948045.0,2285.0,2131.0,2205.0,down
2010-07-02,19.0,875.0,1948045.0,2285.0,2131.0,2205.0,down
2010-07-03,19.0,875.0,1948045.0,2285.0,2131.0,2205.0,down
2010-07-04,11.0,518.0,1136103.0,2205.0,2175.0,2200.0,down
2010-07-05,7.0,472.0,1022820.0,2175.0,2160.0,2160.0,down
2010-07-06,7.0,490.0,1051500.0,2170.0,2125.0,2125.0,down
2010-07-07,10.0,802.0,1735004.0,2175.0,2135.0,2135.0,down
2010-07-08,19.0,1492.0,3171215.0,2160.0,2101.0,2160.0,down
2010-07-09,19.0,1492.0,3171215.0,2160.0,2101.0,2160.0,down
2010-07-10,19.0,1492.0,3171215.0,2160.0,2101.0,2160.0,down
