Stock Name,Stock Symbol,Stock Number
Ace Development Bank Ltd.,ACEDBL,216
Agriculture Development Bank Limited,ADBL,397
Alpine Development Bank Limited,ALDBL,406
Apex Development Bank Ltd.,APEX,262
Api Power Company Ltd.,API,697
Araniko Development Bank Limited,ARDBL,443
Arun Finance Limited,ARUN,421
Arun Valley Hydropower Development Co. Ltd.,AHPC,360
Arun Vanaspati Udhyog Limited,AVU,211
Asian Life Insurance Co. Limited,ALICL,385
Bagmati Development Bank Ltd.,BGDBL,489
Bank of Kathmandu,BOK,138
Barun Hydropower Co. Ltd.,BARUN,686
Bhaktapur Finance Co. Ltd.,BFCL,680
Bhargav Bikash Bank Ltd.,BHBL,487
Birat Shoe Limited,BSL,217
Biratlaxmi Bikas Bank Limited,BLDBL,279
Bishal Bazar Company Limited,BBC,156
Bottlers Nepal (Balaju) Limited,BNL,195
Bottlers Nepal (Terai) Limited,BNT,213
Business Universal Development Bank Ltd.,BUDBL,168
Butwal Power Company Limited,BPCL,153
Butwal Spinning Mills Limited,BSM,205
Capital Merchant Bank & Finance Co. Ltd.,CMB,259
Central Finance Co. Ltd.,CFCL,245
Century Commercial Bank Ltd.,CCBL,605
Chhimek Laghubitta Bikas Bank Limited,CBBL,164
Chilime Hydropower Company Limited,CHCL,154
Citizen Bank International Limited,CZBIL,348
Citizen Investment Trust,CIT,210
Civil Bank Ltd,CBL,532
Corporate Development Bank Limited,CORBL,450
Cosmos Development Bank Ltd.,CSDBL,600
Country Development Bank Ltd.,CNDBL,448
Crystal Finance Ltd.,CFL,361
Deprosc Development Bank Limited,DDBL,166
Dev Bikas Bank Limited,DBBL,311
Ekata Bikas Bank Ltd.,EKBL,617
Everest Bank Limited,EBL,137
Everest Bank Limited Con. Pref.,EBLCP,277
Everest Finance Ltd.,EFL,258
Everest Insurance Co. Ltd.,EIC,181
Excel Development Bank Ltd.,EDBL,274
Fewa Bikas Bank Limited,FBBL,420
First Micro Finance Development Bank Ltd.,FMDBL,490
Fleur Himalayan Limited,FHL,228
Gandaki Bikas Bank Limited,GDBL,167
Garima Bikas Bank Limited,GBBL,417
Gaumukhee Bikas Bank Ltd.,GABL,572
General Finance Ltd.,GFL,227
Global IME Bank Limited,GBIME,341
Global IME Samunnat Scheme-1,GIMES1,174
Goodwill Finance Co. Ltd.,GFCL,232
Gorakhkali Rubber Udhyog Limited,GRU,207
Grand Bank Nepal Limited,GRAND,162
Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,263
Gurans Life Insurance Company Ltd.,GLICL,447
Gurkha Development Bank Limited,GDBNL,175
Hama Merchant & Finance Ltd.,HAMA,470
Hamro Bikas Bank Ltd.,HAMRO,576
Harisiddhi Brick And Tiles Limited,HBT,215
Himalayan Bank Limited,HBL,134
Himalayan Distillery Limited,HDL,235
Himalayan Finance Limited (Bittiya Sanstha),HFL,441
Himalayan General Insurance Co. Ltd,HGI,179
ICFC Finance Limited,ICFC,273
ILFCO Microfinance Bittiya Sanstha Ltd.,ILFCM,693
Infrastructure Development Bank Ltd.,IDBL,290
Innovative Development Bank Ltd.,INDB,529
International Development Bank Ltd,INDBL,536
International Leasing & Finance Co. Ltd.,ILFC,243
Janaki Finance Ltd.,JFL,250
Janata Bank Nepal Ltd.,JBNL,496
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,695
Jebils Finance Ltd.,JEFL,577
Jhimruk Bikas Bank Ltd.,JHBL,563
Jyoti Bikas Bank Limited,JBBL,418
Jyoti Sinning Mills Limited,JSM,209
Kabeli Bikas Bank Limited,KEBL,427
Kailash Bikas Bank Ltd.,KBBL,202
Kakre Bihar Bikash Bank Ltd,KKBL,531
Kalika Microcredit Development Bank Ltd.,KMCDB,593
Kalinchowk Development Bank Ltd.,KCDBL,627
Kamana Bikas Bank Limited,KMBL,459
Kanchan Development Bank Limited,KADBL,505
Kankai Bikas Bank Ltd.,KNBL,419
Karnali Development Bank Limited,KRBL,428
Kaski Finance Limited,KAFIL,332
Kasthamandap Development Bank Limited,KDBL,388
Kathmandu Finance Ltd.,KFL,204
Kisan Microfinance Bittiya Sanstha Ltd.,KMFL,694
Kuber Merchant Finance Limited,KMBSL,296
Kumari Bank Limited,KBL,142
Lalitpur Finance Ltd.,LFC,231
Laxmi Bank Limited,LBL,141
Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,618
Laxmi Value Fund-1,LVF1,674
Life Insurance Co. Nepal,LICN,188
Lumbini Bank Limited,LUBL,143
Lumbini Finance Ltd.,LFLC,237
Lumbini General Insurance Co. Ltd.,LGIL,190
Machhapuchhre Bank Limited,MBL,140
Maha Laxmi Finance Ltd.,MFL,229
Mahakali Bikas Bank Limited,MBBL,370
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,691
Malika Bikas Bank Limited,MDBL,275
Manaslu Bikas Bank Ltd.,MSBBL,588
Manjushree Financial Institution Ltd.,MFIL,516
Matribhumi Development Bank Ltd.,MTBL,595
Mega  Bank Nepal Ltd.,MEGA,562
Metro Development Bank Limited,METRO,513
Mirmire Microfinance Development Bank Ltd.,MMFDB,682
Mission Development Bank Ltd.,MIDBL,570
Miteri Development Bank Limited,MDB,371
Mithila LaghuBitta Bikas Bank Ltd.,MLBBL,601
Mount Makalu Development Bank Ltd.,MMDBL,614
Muktinath Bikas Bank Ltd.,MNBBL,474
Multipurpose Finance Company  Limited,MPFL,471
Nabil Balance Fund 1,NBF1,538
Nabil Bank Limited,NABIL,131
NagBeli LaghuBitta Bikas Bank Ltd.,NBBL,602
Namaste Bittiya Sanstha Ltd.,NBSL,571
Narayani Development Bank Limited,NABBC,172
Narayani National Finance Limited,NNFC,199
National Hydro Power Company Limited,NHPC,152
National Life Insurance Co. Ltd.,NLICL,178
Naya Nepal Laghubitta Bikas Bank Ltd.,NNLB,592
NB Insurance Co. Ltd.,NBIL,186
NCM Mutual Fund,NCMMF,269
Neco Insurance Co. Ltd.,NIL,183
Nepal Aawas Finance Limited,NABB,212
Nepal Bangladesh Bank Limited,NBB,136
Nepal Bank Limited,NBL,517
Nepal Bitumin And Barrel Udhyog Limited,NBBU,233
Nepal Community Development Bank Ltd.,NCDB,598
Nepal Credit And Commercial Bank Limited,NCCB,144
Nepal Development Bank Limited,NDB,161
Nepal Doorsanchar Comapany Limited,NTC,307
Nepal Express Finance Ltd.,NEFL,278
Nepal Film Development Company Limited,NFD,151
Nepal Finance Ltd.,NFS,194
Nepal Grameen Bikas Bank  Ltd.,NGBBL,583
Nepal Insurance Co. Ltd.,NICL,176
Nepal Investment Bank Limited,NIB,132
Nepal Khadya Udhyog Limited,NKU,222
Nepal Life Insurance Co. Ltd.,NLIC,187
Nepal Lube Oil Limited,NLO,198
Nepal SBI Bank Limited,SBI,135
Nepal Share Markets Ltd.,NSM,200
Nepal Tading Limited,NTL,158
Nepal Vanaspati Ghee Udhyog Limited,NVG,201
Nepal Welfare Company Limited,NWC,159
Nerude Laghubita Bikas Bank Limited,NLBBL,396
NIBL Samriddhi Fund 1,NIBSF1,636
NIC Asia Bank Ltd.,NICA,139
NIDC Capital Markets Ltd.,NCM,196
NIDC Development Bank Ltd.,NIDC,160
Nirdhan Utthan Bank Limited,NUBL,163
NLG Insurance Company Ltd.,NLG,559
NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,704
NMB Bank Limited,NMB,238
NMB Sulav Investment Fund-1,NMBSF1,629
Om Development Bank Ltd.,ODBL,398
Oriental Hotels Limited,OHL,149
Pacific Development Bank Limited,PADBL,512
Paschimanchal Finance Co. Ltd.,PFC,234
Pokhara Finance Ltd.,PFL,236
Prabhu  Bank Limited,PRVU,255
Prabhu Insurance Ltd.,PRIN,184
Premier Finance Co. Ltd.,PFCLL,247
Premier Insurance Co. Ltd.,PIC,182
Prime Commercial Bank Ltd.,PCBL,357
Prime Life Insurance Company Limited,PLIC,393
Professional Diyalo Bikas Bank Ltd.,PRDBL,414
ProgressiveFinance Limited,PROFL,338
Prudential Insurance Co. Ltd.,PICL,189
Purnima Bikas Bank Ltd.,PURBL,451
Raghupati Jute Mills Limited,RJM,203
Raptibheri Bikas Bank Ltd.,RBBBL,679
Rastriya Beema Company Limited,RBCL,177
Reliable Development Bank Limited,REDBL,342
Reliable Microfinance Bittiya Sanstha Ltd.,RMFL,705
Reliance Lotus Finance Ltd.,RLFL,587
Ridi Hydropower Development Company Ltd.,RHPC,610
Rural Microfinance Development Centre Ltd.,RMDC,575
Sagarmatha  Finance Limited,SAFL,321
Sagarmatha Insurance Co. Ltd.,SIC,185
Sahara Bikas Bank Ltd.,SHBL,625
Sahayogi Bikas Bank Limited,SBBLJ,174
Sajha Bikas Bank Ltd.,SAJHA,173
Salt Trading Corporation,STC,155
Samjhana Finance Co. Ltd.,SFC,221
Sana Kisan Bikas Bank Ltd,SKBBL,574
Sanima Bank Limited,SANIMA,171
Sanima Mai Hydropower Ltd.,SHPC,591
Saptakoshi Development Bank Ltd.,SKDBL,173
Seti Finance Limited,SETI,416
Sewa Bikas Bank Limited,SEWA,389
Shangrila Development Bank Ltd.,SADBL,472
Shikhar Insurance Co. Ltd.,SICL,192
Shine Resunga Development Bank Ltd.,SHINE,473
Shree Bhrikuti Pulp And Paper Limited,SBPP,226
Shree Investment Finance Co. Ltd.,SIFC,244
Shree Ram Sugar Mills Limited,SRS,230
Shrijana Finance  (Bittaya Sanstha),SFFIL,261
Siddharth Finance Ltd.,SFL,239
Siddhartha Bank Limited,SBL,145
Siddhartha Development Bank Ltd.,SDBL,169
Siddhartha Equity Orineted Scheme,SEOS,616
Siddhartha Insurance Ltd.,SIL,280
Siddhartha Investment Growth Scheme-1,SIGS1,526
Sindhu Bikash Bank Ltd,SINDU,561
Soaltee Hotel Limited,SHL,147
Society Development Bank Ltd.,SODBL,271
Standard Chartered Bank Limited,SCB,133
Subhechha Bikas Bank Limited,SUBBL,331
Summit Micro Finance Development Bank Ltd.,SMFDB,502
Sunrise Bank Limited,SRBL,359
Supreme Development Bank Ltd.,SUPRME,267
Surya Life Insurance Company Limited,SLICL,403
Swabalamban Bikas Bank Limited,SWBBL,268
Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,545
Synergy Finance Ltd.,SYFL,249
Taragaon Regency Hotel Limited,TRH,148
Taragaon Regency Hotels Ltd. Preference Share,TRHPR,608
Tinau Development Bank Limited,TNBL,442
Tourism Development Bank Limited,TDBL,503
Triveni Bikas Bank Limited,TBBL,337
Uniliver Nepal Limited,UNL,219
Union Finance Co. Ltd.,UFCL,208
Unique Finance Ltd.,UFIL,413
United Finance Ltd.,UFL,242
United Insurance Co. (Nepal) Ltd.,UIC,180
Vibor Bikas Bank Limited,VBBL,358
Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,687
Western Development Bank Limited,WDBL,445
Womi Microfinance Bittiya Sanstha Ltd.,WOMI,706
World Merchant Banking & Finance Ltd.,WMBF,256
Yak And Yeti Hotel Limited,YHL,146
Yeti  Development Bank Limited,YETI,401
